time,axes[0],axes[1],axes[2],axes[3],axes[4],axes[5],buttons[0],buttons[1],buttons[2],buttons[3],buttons[4],buttons[5],buttons[6],buttons[7],buttons[8],buttons[9],buttons[10],buttons[11],buttons[12]
0.145367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.164817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.184907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.204814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.224871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.244827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.265605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.285731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.305629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.325606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.345641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.365546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.385628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.405612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.425459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.445506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.465375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.485303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.505314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.525389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.545379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.565402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.585494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.605215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.62519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.644954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.666032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.686007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.706148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.726105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.745804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.765837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.786019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.805949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.826178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.845893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.865848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.885968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.905716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.925766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.945794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.965564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.985744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04059,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.05943,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.07749,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.09542,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.11344,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1323,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.15041,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.16929,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.1879,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.20673,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.22431,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.24312,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.26115,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.2792,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.29827,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.31629,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.33553,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.35317,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.37207,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.39002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.40797,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.42685,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.44487,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1.46383,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
