time,waist_y,r_shoulder_p,r_shoulder_r,r_shoulder_y,r_elbow_p,r_wrist_y,r_wrist_p,r_wrist_r,r_hand,l_shoulder_p,l_shoulder_r,l_shoulder_y,l_elbow_p,l_wrist_y,l_wrist_p,l_wrist_r,l_hand
1.03012,-75,-119,0,50,1080,-85,0,36,1670,-107,0,109,1148,-96,0,-13,650
1.04017,-70,-123,0,50,1074,-85,0,34,1670,-110,0,108,1142,-96,0,-10,650
1.0491,-70,-126,0,50,1068,-86,0,30,1670,-114,0,106,1135,-96,0,-8,650
1.05805,-70,-129,0,49,1063,-85,0,27,1670,-117,0,104,1130,-96,0,-6,650
1.06711,-65,-132,0,49,1058,-85,0,24,1670,-120,0,103,1125,-96,0,-3,650
1.07617,-60,-135,0,48,1053,-85,0,21,1670,-121,0,102,1119,-96,0,0,650
1.08616,-60,-137,0,48,1049,-85,0,19,1670,-123,0,102,1115,-96,0,0,650
1.09506,-55,-139,0,48,1045,-85,0,18,1670,-125,0,102,1111,-96,0,2,650
1.10403,-50,-141,0,48,1041,-85,0,16,1670,-127,0,101,1107,-96,0,3,645
1.11309,-50,-143,0,49,1038,-84,0,15,1670,-128,0,101,1104,-96,0,4,650
1.12191,-50,-144,0,49,1035,-84,0,15,1670,-130,0,102,1101,-96,0,5,650
1.13195,-45,-145,0,49,1032,-84,0,15,1670,-131,0,103,1097,-96,0,6,650
1.14094,-55,-145,0,50,1028,-83,0,16,1670,-132,0,103,1093,-96,0,6,650
1.15006,-55,-147,0,50,1024,-83,0,18,1670,-135,0,104,1089,-96,0,6,650
1.1599,-60,-148,0,50,1021,-82,0,19,1670,-137,0,105,1087,-96,0,5,645
1.16895,-65,-150,0,50,1016,-82,0,21,1670,-138,0,105,1083,-96,0,4,650
1.178,-70,-150,0,50,1013,-81,0,22,1670,-141,0,105,1081,-96,0,3,650
1.18756,-70,-152,0,51,1009,-80,0,24,1670,-143,0,105,1079,-96,0,2,650
1.19631,-75,-152,0,51,1005,-79,0,26,1670,-144,0,105,1076,-96,0,2,650
1.20628,-75,-152,0,53,1001,-79,0,27,1670,-146,0,104,1073,-96,0,2,650
1.21502,-80,-153,0,53,998,-78,0,28,1670,-148,0,104,1071,-96,0,2,650
1.22396,-80,-153,0,56,994,-77,0,28,1670,-150,0,104,1068,-96,0,2,650
1.23311,-85,-155,0,57,991,-76,0,29,1665,-152,0,104,1066,-96,0,2,650
1.24182,-85,-156,0,57,988,-76,0,30,1670,-152,0,104,1064,-96,0,2,650
1.25179,-85,-157,0,58,985,-75,0,31,1670,-154,0,104,1061,-96,0,2,650
1.26076,-80,-159,0,59,982,-74,0,31,1670,-156,0,104,1059,-96,0,2,650
1.26987,-80,-159,0,60,980,-73,0,31,1670,-157,0,103,1057,-96,0,1,650
1.27882,-80,-160,0,60,978,-72,0,32,1670,-158,0,103,1054,-96,0,0,645
1.28877,-80,-161,0,61,975,-72,0,33,1665,-159,0,103,1052,-96,0,0,650
1.29792,-80,-162,0,62,973,-72,0,33,1670,-161,0,103,1050,-96,0,0,650
1.30682,-80,-164,0,63,972,-72,0,33,1670,-163,0,102,1047,-96,0,0,650
1.31581,-80,-165,0,63,969,-71,0,33,1665,-164,0,102,1045,-96,0,0,650
1.32506,-80,-166,0,64,967,-71,0,33,1670,-166,0,102,1044,-96,0,0,650
1.334,-80,-166,0,64,966,-70,0,34,1670,-168,0,102,1041,-96,0,0,650
1.3442,-80,-168,0,64,965,-70,0,34,1670,-169,0,101,1039,-96,0,1,645
1.35283,-85,-169,0,65,965,-70,0,34,1665,-171,0,101,1037,-96,0,2,650
1.36169,-85,-170,0,65,963,-70,0,35,1670,-173,0,101,1036,-96,0,2,650
1.37172,-85,-171,0,65,962,-69,0,35,1670,-173,0,101,1034,-96,0,3,650
1.38057,-85,-172,0,65,961,-69,0,35,1670,-174,0,101,1032,-96,0,3,645
1.38967,-85,-173,0,65,960,-69,0,35,1670,-176,0,101,1030,-96,0,3,650
1.39862,-85,-173,0,65,960,-69,0,34,1670,-177,0,101,1029,-96,0,4,650
1.40763,-85,-174,0,66,959,-69,0,34,1670,-178,0,101,1027,-96,0,4,650
1.41661,-85,-175,0,66,959,-69,0,34,1670,-179,0,101,1025,-96,0,4,650
1.42653,-85,-176,0,67,958,-69,0,34,1670,-180,0,101,1024,-96,0,4,650
1.43558,-85,-177,0,67,957,-69,0,33,1670,-181,0,101,1023,-96,0,3,650
1.44451,-85,-178,0,68,957,-69,0,34,1670,-181,0,101,1023,-96,0,3,650
1.4536,-85,-178,0,68,957,-69,0,33,1670,-181,0,101,1022,-96,0,2,650
1.46348,-80,-179,0,68,957,-69,0,33,1670,-181,0,101,1021,-96,0,2,650
1.47255,-85,-179,0,69,957,-69,0,33,1670,-181,0,101,1020,-96,0,2,650
1.48146,-85,-180,0,70,957,-69,0,33,1670,-181,0,101,1020,-96,0,2,650
1.49046,-85,-181,0,70,957,-69,0,33,1665,-181,0,101,1019,-96,0,2,650
1.49945,-80,-181,0,70,956,-69,0,33,1670,-181,0,101,1018,-96,0,1,650
1.50849,-80,-181,0,71,956,-68,0,33,1670,-181,0,101,1018,-96,0,1,650
1.51859,-80,-181,0,71,956,-68,0,34,1670,-181,0,101,1017,-96,0,1,650
1.52762,-85,-181,0,72,956,-68,0,34,1670,-181,0,101,1016,-96,0,1,645
1.53661,-80,-182,0,72,956,-68,0,35,1670,-181,0,101,1015,-96,0,1,650
1.54646,-80,-182,0,72,956,-68,0,34,1665,-181,0,101,1015,-96,0,1,650
1.55555,-80,-182,0,73,957,-68,0,35,1665,-181,0,102,1015,-96,0,0,650
1.56452,-80,-181,0,74,957,-68,0,35,1670,-181,0,101,1015,-96,0,0,650
1.57348,-80,-181,0,75,957,-68,0,34,1670,-181,0,102,1014,-96,0,0,650
1.5824,-80,-181,0,76,957,-68,0,35,1670,-181,0,102,1014,-96,0,0,650
